slug,title,category,protocol_type,last_updated,author,synonyms,clinical_indications,position,npo,premedication,contrast_agent,contrast_volume,contrast_flow_rate,contrast_duration,contrast_timing,contrast_roi,contrast_trigger,kv,mas,rotation_time,pitch,tech_notes,nursing_notes,rad_notes,tips,additional_recons,safety_renal,safety_allergy
calcium-score,Calcium Score,cardiac,non-contrast,2026-02-02,,,Cardiovascular risk assessment | Chest pain low-intermediate risk | Asymptomatic screening | Elevated HLD | Significant cardiovascular risk factors,Supine feet-first,No caffeine day of exam,HR control not needed for calcium score,N/A,,,,,,,120,Auto (low dose),0.28-0.35s,1.0-1.2,"Prospective ECG gating. | Suspended Respiration breathing instructions. | For single source CT: Target End Diastole if HR < 63BPM, else target End diastole and end systole. For dual source CT: Target End diastole if HR <79, else target end systole. Ensure ECG leads well connected, Goal: <= 60 BPM, regular (+/- 5).",No IV needed.,Check breathing motion on lung FOV. Calculate Agatston score. Report percentile for age/sex. Document coronary calcification distribution,Good ECG tracing essential. Patient breath hold coaching,Agatston score calculation. Percentile reporting,N/A,N/A
coronary-cta-post-cabg,Coronary CTA Post-CABG,cardiac,vascular,2026-02-02,,,Post-CABG graft patency assessment | Recurrent chest pain post-bypass,Supine feet-first,NPO 2-4 hours,"HR < 60 target. | Metoprolol 5mg IV increments up to 15mg. Metoprolol contraindications include sBP < 100, 2nd/3rd degree heart block, and inhaler dependent asthma. | Nitroglycerin 0.4mg SL 5 minutes before scan. Nitroglycerin contraindications include sBP < 100, PDE5 inhibitors within 48 hrs, severe aortic stenosis.",Isovue 370,1.1 mL/kg,4-5 mL/s,18s,Bolus Tracking,Ascending aorta,200 HU,100-120,Auto ECG modulation,0.28s,0.2-0.24,"Non-valsalva breathing technique, cardiac breathing instruction. Put in study notes if patient unable to follow breathing instructions. | If high HR variability, can trigger by millisecond (200ms - 450 ms pulse range). Revolution CT is better for Afib. | Target End diastole if HR < 65bpm. Target End systole if HR > 86bpm. Target End diastole to End systole if HR 66 - 75 bpm",20G IV minimum. Check for metoprolol or nitroglycerin contraindications. Nitro is priority over metoprolol if BP is borderline.,Assess all grafts: LIMA RIMA SVG. Check anastomoses. Native vessel disease. Graft patency vs occlusion. Check functional series for WMA.,Full chest coverage essential. Extended FOV. Low pitch for retrospective gating,Curved MPR of all grafts. Label LIMA RIMA SVG.,Verify eGFR > 30,Check allergy history
coronary-cta,Coronary CTA,cardiac,vascular,2026-02-02,,,Intermediate chest pain | Suspected infarct | Coronary artery dissection or aneurysm | Anomalous coronary artery | Stent patency,Supine feet-first,NPO 2-4 hours,"HR < 60 target. | Metoprolol 5mg IV increments up to 15mg. Metoprolol contraindications include sBP < 100, 2nd/3rd degree heart block, and inhaler dependent asthma. | Nitroglycerin 0.4mg SL 5 minutes before scan. Nitroglycerin contraindications include sBP < 100, PDE5 inhibitors within 48 hrs, severe aortic stenosis.",Isovue 370,1.1 mL/kg,4-5 mL/s,18s,Bolus Tracking,Ascending aorta,200 HU,100-120,Auto ECG modulation,0.28s,0.2-0.24,"Non-valsalva breathing technique, cardiac breathing instruction. Put in study notes if patient unable to follow breathing instructions. | If high HR variability, can trigger by millisecond (200ms - 450 ms pulse range). Revolution CT is better for Afib. | Target End diastole if HR < 65bpm. Target End systole if HR > 86bpm. Target End diastole to End systole if HR 66 - 75 bpm",20G IV minimum. Check for metoprolol or nitroglycerin contraindications. Nitro is priority over metoprolol if BP is borderline.,Calculate Agatston score. Give CAD-RADS score. Check function look for potential focal wall motion abnormalities,Full chest coverage essential. Extended FOV. Low pitch for retrospective gating,Curved MPR of all coronaries.,Verify eGFR > 30,Check allergy history
endocarditiscardiac-mass,Endocarditis/Cardiac Mass,cardiac,cardiac gated,2026-02-02,,,Endocarditis | Cardiac mass | Valve vegetation | Intracardiac thrombus,Supine feet-first,NPO 2-4 hours,HR < 65 preferred. No premedication typically given.,Isovue 370,1.6 mL/kg,3-4 mL/s,35 sec,,,,100-120,Auto ECG modulation,0.28s,0.2-0.24,"Non-valsalva breathing technique, cardiac breathing instruction. | Injection duration is fixed 35 sec fixed 30 sec scan delay. Retrospective gating trigger at 30-70% (End sys - end dia).  Reconstruct  at 5% intervals.",18-20G IV. HR control helpful but not critical,Assess all valves for vegetations. Evaluate myocardium for abscess. Look for intracardiac masses. Check for complications,Multiple cardiac phases helpful for valve motion. Thin slices for vegetations,Multi-phase reconstructions. 4-chamber 2-chamber views. Valve-specific reformats,Verify eGFR > 30,Check allergy history
gated-cta-cap-sternotomy-revision,Gated CTA CAP Sternotomy Revision,cardiac,cardiac gated,2024-01-15,Dr. Williams,,Pre-operative planning for redo sternotomy | Retrosternal structures assessment,Supine with arms raised,NPO 4 hours,HR < 65 target. Premedication not required.,Isovue 370,1.2 mL/kg,5 mL/s,15s,Bolus Tracking,Ascending aorta,180 HU,100,Auto ECG chest / High mAs other,0.28 / 0.5s,0.2-0.24 / 1.2-1.5,THREE acquisitions: 1) Gated CHEST 2) Flash AP arterial 3) CHEST venogram 60 sec delay. Venous for retrosternal structures,20G IV,Gated: cardiac anatomy. Arterial: systemic vessels. VENOUS: retrosternal veins and adherent structures critical for surgical planning,Venous phase critical for surgical planning. Map all retrosternal structures,3D VR venogram highlighting retrosternal veins. Distance measurements sternum to heart,Verify eGFR > 30,Large contrast load - verify renal function
gated-cta-cap,Gated CTA CAP,cardiac,cardiac gated,2024-01-15,Dr. Lee,,Aortic dissection | Aortic aneurysm with cardiac involvement | Combined cardiac and aortic pathology,Supine with arms raised,NPO 2-4 hours,HR < 65 target. Premedication not required.,Isovue 370,1.6 mL/kg,4 mL/s,20-24s,Bolus Tracking,Ascending aorta,180 HU,100,Auto ECG chest / High mAs AP,0.28 chest / 0.5 APs,0.2-0.24 chest / 1.2-1.5 AP,TWO acquisitions: 1) Gated retrospective CHEST 2) Flash helical ABDOMEN/PELVIS. Chest gated for aortic root. AP flash arterial,20G IV minimum,Gated chest: assess aortic root valve coronaries. Flash AP: assess aorta and branches. Combined cardiac and vascular,Arms up. Careful timing between gated and flash acquisitions,Curved MPR full aorta. Aortic valve reformats. 3D VR,Verify eGFR > 30,Check allergy history
gated-cta-chest-post-op-cardiac-valve,Gated CTA Chest Post-op Cardiac Valve,cardiac,cardiac gated,2024-01-15,Dr. Thompson,,Post-operative valve assessment | Prosthetic valve evaluation | Post-surgical complications,Supine feet-first,NPO 2-4 hours,HR < 65 preferred. Metoprolol if needed,Isovue 370,1.3 mL/kg,4-5 mL/s,15 sec,Bolus Tracking,Ascending aorta,200 HU,130-140,Auto ECG modulation,0.28s,0.2-0.24,Retrospective gating. INCREASED kV to 130-140 for metal artifact reduction. Increased contrast 1.3 mL/kg. Extended reconstruction phases,20G IV minimum,Assess prosthetic valve function. Look for paravalvular leak. Evaluate perivalvular complications. Metal artifact reduction critical | Increased kVP and increased contrast volume with thinner cuts help with seeing through metallic artifact to evaluate for thrombus.,High kV (130-140) critical for metal artifact. Increased contrast volume,Multi-phase reconstructions. Valve-specific views. Paravalvular assessment,Verify eGFR > 30,Check allergy history
gated-cta-chest,Gated CTA Chest,cardiac,cardiac gated,2024-01-15,Dr. Anderson,,Thoracic aortic dissection | Chest pain radiating to the back | Follow up thoracic aortic aneurysm,Supine feet-first,NPO 2-4 hours,HR < 60 target. Premedication not required.,Isovue 370,1.1 mL/kg,4-5 mL/s,20s,Bolus Tracking,Ascending aorta,200 HU,100,Auto ECG modulation,0.28s,0.2-0.24,Retrospective ECG gating. Cover heart. Bolus tracking in ascending aorta. Optional stent protocol: add 40 sec delayed phase,20G IV minimum. HR control critical. Nitro administration. Monitor BP,Assess coronaries for stenosis plaque. Evaluate anomalous anatomy. Stent patency if applicable. Cardiac function from multi-phase,HR control essential. Coach breathing. Gating quality check,Curved MPR all coronaries. Short/long axis. Multi-phase for function. Calcium score,Verify eGFR > 30,Check metoprolol contraindications
gated-cta-heart-left-atrial-mapping,Gated CTA Heart Left Atrial Mapping,cardiac,cardiac gated,2024-01-15,Dr. Kim,,Pre-ablation planning | Atrial fibrillation | Pulmonary vein anatomy,Supine feet-first,NPO 2-4 hours,HR < 65 preferred. Premedication not required.,Isovue 370,1.1 mL/kg,5 mL/s,15 sec,Bolus Tracking,Left Atrium,200 HU,100,Auto ECG modulation,0.28s,0.2-0.24,Retrospective gating. Focus on left atrium and pulmonary veins. Thin slices critical. Extended coverage for all PV ostia,20G IV,Map pulmonary vein anatomy (number ostia diameters). Left atrial appendage morphology. Esophageal position. LA size,Thin slices essential. Complete PV coverage. Document variants,3D LA reconstruction. PV ostia measurements (diameter area). LAA morphology. Esophageal position,Verify eGFR > 30,Check allergy history
gated-cta-tavr,Gated CTA TAVR,cardiac,cardiac gated,2024-01-15,Dr. Davis,,Pre-TAVR planning | Aortic stenosis valve replacement planning,Supine with arms raised,NPO 4 hours,HR < 65 target. Premedication not required.,Isovue 370,1.6 mL/kg,4 mL/s,22s,Bolus Tracking,Ascending aorta,180 HU,100,Auto ECG chest / High mAs AP,0.28 / 0.5s,0.2-0.24 / 1.2-1.5,Gated CHEST retrospective + Flash AP. Gated for valve measurements. AP for access planning. TAVR post-processing required,20G IV antecubital,Measure aortic annulus (3 diameters). Coronary heights. Access vessels (iliofemoral). Valve calcium. Comprehensive TAVR measurements,TAVR-specific measurements protocol. Thin slices critical,TAVR measurements: annulus area perimeter diameters. Coronary heights. Sinus of Valsalva. STJ. Ascending aorta. Access vessels,Verify eGFR > 30,Check allergy history
gated-cta-tmvr,Gated CTA TMVR,cardiac,cardiac gated,2024-01-15,Dr. Rodriguez,,Pre-TMVR planning | Mitral valve replacement planning | Mitral regurgitation,Supine with arms raised,NPO 4 hours,HR < 65 target. Premedication not required.,IsoVue 370,1.1 mL/kg,5 mL/s,15s,Bolus Tracking,Ascending aorta,180 HU,100,NO ECG MODULATION chest / Auto AP,0.28 / 0.5s,0.2-0.24 / 1.2-1.5,Gated CHEST with NO DOSE PULSING (full dose all phases) + delayed 80 sec CAP. TMVR post-processing required,20G IV,Measure mitral annulus. LA size. LVOT assessment. Coronary proximity. Access vessels. TMVR-specific measurements,NO dose modulation for gated chest. Full radiation all phases for valve assessment,TMVR measurements: annulus dimensions. LVOT area. Coronary heights. LA volume. Access vessels,Verify eGFR > 30,Check allergy history
gated-cta-ttvr,Gated CTA TTVR,cardiac,cardiac gated,2024-01-15,Dr. Jackson,,Pre-TTVR planning | Tricuspid valve replacement planning | Tricuspid regurgitation,Supine with arms raised,NPO 4 hours,HR < 65 target. Premedication not required.,IsoVue 370,2.0 mL/kg,3.5 mL/s,30-50s,Bolus Tracking,Ascending aorta,180 HU,100,NO ECG MODULATION chest / Auto AP,0.28 / 0.5s,0.2-0.24 / 1.2-1.5,Gated CHEST with NO DOSE PULSING + delayed 90 sec CAP. TTVR post-processing required,20G IV,Measure tricuspid annulus. RA size. RV function. Coronary proximity. Access vessels. TTVR-specific measurements,NO dose modulation. Full dose all cardiac phases,TTVR measurements: annulus dimensions area perimeter. RA volume. RV function. Coronary proximity. Access vessels,Verify eGFR > 30,Check allergy history
ct-pulmonary-embolism,CT Pulmonary Embolism,chest,contrast-enhanced,2026-01-01,,,Suspected pulmonary embolism | Acute dyspnea | Chest pain with elevated D-dimer,Supine feet-first with arms raised,NPO 2 hours recommended,None required,Isovue 370,1.3 mL/kg,5 mL/s,15 - 20s,Bolus Tracking,Main Pulmonary Artery,100 HU,100,Auto (reference 200),0.5s,1.0-1.2,Caudocranial scan direction. Coach breath hold. ROI in main PA at level of bifurcation,20G or larger IV in antecubital preferred. Verify good flow before injection,Assess RV/LV ratio. Look for signs of right heart strain. Check for DVT in leg veins if imaged,Arms fully raised to reduce beam hardening,MIP reconstructions of pulmonary arteries,Verify eGFR > 30,Check iodine allergy history and prior reactions
dynamic-airway-ct,Dynamic Airway CT,chest,non-contrast,2024-01-15,Dr. Lee,,Tracheobronchomalacia | Expiratory central airway collapse | EDAC,Supine with arms raised,N/A,,N/A,,,,,,,120,Auto (reference 200),0.5s,Helical,TWO acquisitions: 1) INSPIRATION carina to carina+10cm 2) MID-EXPIRATION same level. Cine if available. Airway reconstructions required,No IV. Coach dynamic breathing. May need forced expiration,Measure tracheal collapse percentage. >50% collapse suggests tracheomalacia. Assess bronchi,Coach forced expiration. Exact same level both phases,Measure tracheal AP diameter inspiration vs expiration. Calculate collapse percentage. 3D airway,N/A,N/A
non-contrast-chest-lung-nodule-ultra-low-dose,Non-Contrast Chest Lung Nodule Ultra Low Dose,chest,chest/pulmonary,2024-01-15,Dr. Rodriguez,,Pulmonary nodule follow-up | Known nodule surveillance,Supine with arms raised,N/A,,N/A,,,,,,,100,Ultra low (20-30 reference),0.5s,1.0-1.2,ULTRA LOW DOSE 10-20% standard dose. For follow-up of KNOWN nodules only. Not for initial detection. Maximum IR,No IV. Known nodule follow-up only,Follow known nodules. Compare to prior. Measure size. Not for initial detection,Ultra low dose. Maximum IR. Prior comparison essential,,N/A,N/A
non-contrast-ct-chest-low-dose,Non-Contrast CT Chest Low Dose,chest,non-contrast,2024-01-15,Dr. Kim,,Non Contrast chest for patient's age < 60,Supine with arms raised,N/A,,N/A,,,,,,,100-120,Low dose (40-60 reference),0.5s,1.0-1.2,LOW DOSE technique. Reduced mAs 30-50% of standard. Helical acquisition. High IR strength,No IV. Explain screening purpose and low radiation,Lung nodule detection. Measure nodules. Lung-RADS classification. Emphysema assessment,Low dose protocol. High iterative reconstruction. Nodule measurement software,CAD nodule detection. Measure all nodules ≥3mm. Lung-RADS reporting,N/A,N/A
non-contrast-ct-chest-routine,Non-Contrast CT Chest Routine,chest,non-contrast,2024-01-15,Dr. Thompson,,Age > 60 | Chest pain low risk,Supine with arms raised,N/A,,N/A,,,,,,,120,Auto (reference 200),0.5s,1.0-1.2,Standard dose helical chest. Lung apices to costophrenic angles. Routine lung and mediastinal windows,No IV needed. Breath hold coaching,Assess lung parenchyma nodules masses. Mediastinal lymph nodes. Pleura. Incidental findings,Full inspiration breath hold,Thin slice 1mm for nodule detection and measurement,N/A,N/A
non-volumetric-hrct-1-phase-prone,Non-Volumetric HRCT 1 Phase Prone,chest,chest/pulmonary,2024-01-15,Dr. Martinez,,Dependent atelectasis vs fibrosis | Posterior lung assessment | ILD with gravity-dependent changes,Prone with arms extended forward,N/A,,N/A,,,,,,,120,Reduced (100-150 reference),Sequentials,N/A,Single INSPIRATION. PRONE position. Non-volumetric (1-2cm intervals). Distinguish atelectasis from fibrosis,Position patient prone safely. Cushion support. Breath hold coaching,Differentiate dependent atelectasis from true fibrosis. Posterior lung better aerated prone,Safe prone positioning. Compare to supine if available,Compare prone to supine to differentiate atelectasis from fibrosis,N/A,N/A
non-volumetric-hrct-1-respiratory-phase,Non-Volumetric HRCT 1 Respiratory Phase,chest,chest/pulmonary,2024-01-15,Dr. Chen,,HRCT follow-up | Known ILD monitoring | Bronchiectasis assessment,Supine with arms raised,N/A,,N/A,,,,,,,120,Reduced (100-150 reference),Sequentials,N/A,Single INSPIRATION phase. Non-volumetric (1-2cm intervals). Lower dose for follow-up,No IV. Single inspiration breath hold,Follow ILD changes. Bronchiectasis. Lower radiation than volumetric,Non-volumetric reduces dose. Good for follow-up,Target slices through abnormality. Compare to prior,N/A,N/A
non-volumetric-hrct-3-respiratory-phases,Non-Volumetric HRCT 3 Respiratory Phases,chest,chest/pulmonary,2024-01-15,Dr. Hayes,,Interstitial lung disease | Air trapping assessment | Constrictive bronchiolitis | Hypersensitivity pneumonitis,Supine with arms raised,N/A,,N/A,,,,,,,120,Reduced (100-150 reference),Sequentials,N/A,THREE acquisitions: 1) INSPIRATION 2) MID-EXPIRATION 3) FULL EXPIRATION. Non-volumetric (1-2cm intervals). Lower dose than volumetric,No IV. Coach three breathing phases carefully,Mosaic attenuation. Air trapping. Small airways disease. Compare three phases,Coach three distinct breath holds. Non-volumetric lower dose,Side-by-side comparison of three phases. Quantify air trapping,N/A,N/A
quantitative-lung-density-ct,Quantitative Lung Density CT,chest,chest/pulmonary,2024-01-15,Dr. Patel,,Bronchiolitis Obliterans Syndrome | Emphysema quantification | COPD assessment,Supine with arms raised,N/A,,N/A,,,,,,,120,Auto (reference 150-200),0.5s,1,TWO VOLUMETRIC acquisitions: 1) Full INSPIRATION 2) FULL EXPIRATION (complete exhalation). Contiguous thin slices. Quantitative software,No IV. Coach complete inspiration and complete expiration,Quantify emphysema (% lung <-950 HU inspiration). Air trapping (% lung <-856 HU expiration). Emphysema distribution,Complete exhalation critical for RV. Volumetric contiguous,Quantitative emphysema analysis. Report % lung <-950 HU. Air trapping metrics. Upper/lower lobe distribution,N/A,N/A
volumetric-hrct-2-respiratory-phases,Volumetric HRCT 2 Respiratory Phases,chest,chest/pulmonary,2024-01-15,Dr. White,,Interstitial lung disease without prone imaging | ILD diagnosis | Diffuse lung disease,Supine with arms raised,N/A,,N/A,,,,,,,120,Auto (reference 150-200),0.5s,1,TWO acquisitions: 1) Full INSPIRATION 2) Limited EXPIRATION (carina to bases). Volumetric (contiguous thin slice). Coach breathing,No IV. Careful breath hold coaching. Inspiration and expiration,ILD pattern recognition. Honeycombing. Ground glass. Reticular. Mosaic attenuation on expiration,Volumetric contiguous slices. Coach breathing carefully,Thin slice for ILD detail. Compare inspiration vs expiration. Quantitative analysis if available,N/A,N/A
ct-ankle,CT Ankle,msk,musculoskeletal,2024-01-15,Dr. Patel,,Ankle fracture | Ligament injury | Pilon fracture | Pre-operative planning | Hardware assessment,Supine feet first,N/A,,None typically. Contrast if infection/mass,If contrast: 75 mL,2-3 mL/s,,,,,120,Auto (reference 200),0.5s,Helical,Include distal tibia/fibula through hindfoot. Submillimeter for 3D. Bilateral scout for positioning. May scan bilateral for comparison,No IV unless contrast needed,Malleolar fractures. Tibial plafond. Talus. Calcaneus. Syndesmosis. Ligaments on contrast,Bilateral scout for symmetry. Submillimeter for 3D,3D reconstruction for surgical planning. Document fracture fragments,N/A or eGFR > 30,N/A or check allergy
ct-arthrogram-shoulder,CT Arthrogram Shoulder,msk,musculoskeletal,2024-01-15,Dr. Patel,,Labral tear | Rotator cuff tear | Capsular injury | Shoulder instability,Supine with arm at side,N/A,Intra-articular contrast injection by radiologist,Omnipaque 240 or 300 diluted,12-15 mL intra-articular,N/A,,,,,120,Auto (reference 150-200),0.5s,Helical,Post-arthrogram CT. Inject glenohumeral joint. Immediate CT after injection. Thin slices for labrum,Radiologist performs injection. Patient to CT immediately after,Labral tears. Rotator cuff tears. Capsular tears. Glenohumeral ligaments. Paralabral cysts,Scan immediately after injection. Thin slices for labrum,Oblique coronal and sagittal. Assess labrum rotator cuff capsule. Document contrast extravasation,N/A,Contrast reaction history
ct-elbow,CT Elbow,msk,musculoskeletal,2024-01-15,Dr. Martinez,,Elbow fracture | Radial head fracture | Olecranon fracture | Coronoid | Terrible triad,Supine with elbow extended if possible or positioned for comfort,N/A,,None typically. Contrast if infection,If contrast: 75 mL,2-3 mL/s,,,,,120,Auto (reference 200),0.5s,Helical,Distal humerus through proximal radius/ulna. Submillimeter. Position extended if possible. Bilateral for comparison,No IV unless contrast needed,Distal humerus fractures. Radial head. Olecranon. Coronoid. Elbow dislocation. Terrible triad,Position extended if possible. Submillimeter for detail,Document terrible triad if present. Radial head-capitellum alignment. 3D reconstruction,N/A or eGFR > 30,N/A or check allergy
